BHK,Rent,Size,Super Area,Carpet Area,Built Area,Mumbai,Chennai,Bangalore,Hyderabad,Delhi,Kolkata,Semi-Furnished,Unfurnished,Furnished,Bachelors/Family,Bachelors,Family,Bathroom
3,9.615805480084347,7.2078598714324755,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,2
4,12.506177237980511,7.213768308118642,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,4
2,10.819778284410283,6.620073206530356,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,2
2,9.392661928770137,6.345636360828596,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,2
1,9.011889433252344,6.620073206530356,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
2,9.392661928770137,7.003065458786462,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,2
1,8.517193191416238,6.214608098422191,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
2,9.615805480084347,6.476972362889683,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,2
2,10.221941283654663,7.029972911706386,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2
1,10.085809109330082,6.309918278226516,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1
4,12.611537753638338,7.696212639346407,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,4
2,11.082142548877775,6.309918278226516,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,2
2,9.85214162518454,6.42648845745769,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,2
2,9.798127036878302,7.003065458786462,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,2
2,9.433483923290392,6.802394763324311,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,2
1,9.104979856318357,6.396929655216146,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1
2,9.210340371976184,6.1092475827643655,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1
3,11.018629143155449,7.346010209913293,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,3
1,8.85366542803745,6.551080335043404,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
1,8.612503371220562,5.991464547107982,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1
2,9.104979856318357,6.396929655216146,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,2
2,9.472704636443673,4.553876891600541,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1
2,9.51044496442652,6.907755278982137,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,2
2,9.615805480084347,7.003065458786462,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,2
4,11.05089000537367,7.882314918980268,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,5
2,9.546812608597396,6.620073206530356,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,2
